image_name,label,center_x,center_y,area_pixels,mean_dab_od,median_dab_od,p99_dab_od,class_lmh
14_15010_8_1_6.jpg,1185,712.1812080536913,840.1006711409397,149,0.08234281927751744,0.08302701454590163,0.13902027946651654,2
14_15010_8_1_6.jpg,1186,790.8780487804878,840.0487804878048,123,0.04627828788937494,0.04215268925486033,0.0912308063965121,1
14_15010_8_1_6.jpg,1187,811.4133333333333,841.0866666666667,150,0.07851393266916894,0.0781069320573817,0.14788023821701796,2
14_15010_8_1_6.jpg,1188,196.33673469387756,842.3163265306123,98,0.12618415383210335,0.13436261338442204,0.17341876566144007,3
14_15010_8_1_6.jpg,1189,272.9429824561403,843.3245614035088,228,0.09755891349850578,0.10089882278587539,0.16405138819088255,2
14_15010_8_1_6.jpg,1190,208.4144144144144,841.5315315315315,111,0.11169110940069608,0.11076537025566402,0.1821044028341751,3
14_15010_8_1_6.jpg,1191,66.55399061032864,843.8779342723004,213,0.006052452925660241,0.00559737688003847,0.016437466064200386,1
14_15010_8_1_6.jpg,1192,616.4528301886793,844.7924528301887,106,0.0688983187437992,0.06591216474224237,0.11983133941661811,2
14_15010_8_1_6.jpg,1193,863.06,846.44,50,0.05973769469906553,0.05245786498992548,0.133119150222495,2
14_15010_8_1_6.jpg,1194,384.7923076923077,847.2692307692307,260,0.0869961847009019,0.08501280199043112,0.18135030614813333,3
14_15010_8_1_6.jpg,1195,164.55399061032864,848.5774647887324,213,0.08603292365619972,0.0805348497572462,0.215161744706339,3
14_15010_8_1_6.jpg,1196,784.6071428571429,847.5625,112,0.08917896286177229,0.08489566847095033,0.18762434789305626,3
14_15010_8_1_6.jpg,1197,295.1183431952663,849.9467455621302,169,0.0648325758829896,0.06203945780890076,0.12041699941949868,2
14_15010_8_1_6.jpg,1198,552.92,850.575,200,0.059140957589131384,0.047693480671782904,0.15026303217914716,2
14_15010_8_1_6.jpg,1199,590.3505154639175,850.5773195876288,97,0.07818400937578976,0.07379439886035415,0.13009366351865428,2
14_15010_8_1_6.jpg,1200,240.95833333333334,850.6583333333333,120,0.029831745639247835,0.027232547987697225,0.0716279297505449,1
14_15010_8_1_6.jpg,1201,404.4850746268657,851.1492537313433,134,0.05416759486123534,0.05780106063289858,0.13123858986999773,2
14_15010_8_1_6.jpg,1202,845.0311111111112,849.1822222222222,225,0.08824983415793035,0.08747999482192807,0.19054524288210412,3
14_15010_8_1_6.jpg,1203,930.7215189873418,851.0632911392405,79,0.048023252901616256,0.04600305764500032,0.08855900043684745,1
14_15010_8_1_6.jpg,1204,500.7464788732394,853.4225352112676,71,0.05205477209573752,0.048047138158210156,0.0926267266722566,2
14_15010_8_1_6.jpg,1205,621.7933884297521,853.7438016528926,121,0.08307704844784308,0.07961106523753245,0.1617692733695912,2
14_15010_8_1_6.jpg,1206,759.2947368421053,853.6421052631579,190,0.029950046660829906,0.027023528421001974,0.05877896726819623,1
14_15010_8_1_6.jpg,1207,193.34426229508196,854.4098360655738,183,0.0666352900633888,0.06547274839454092,0.12095047934630646,2
14_15010_8_1_6.jpg,1208,650.6283185840708,854.3362831858407,113,0.036449506098257034,0.03440867734972462,0.07222346786955136,1
14_15010_8_1_6.jpg,1209,664.3833333333333,853.825,120,0.05486098746773784,0.051174414135996354,0.10221539307253151,2
14_15010_8_1_6.jpg,1210,778.0928961748634,856.2568306010929,183,0.10686390301940082,0.10579863717354576,0.19251643492722637,3
14_15010_8_1_6.jpg,1211,604.3153846153846,855.6076923076923,130,0.09601285787940414,0.0955013692952811,0.17638908531896463,3
14_15010_8_1_6.jpg,1212,636.0294117647059,856.0588235294117,68,0.007033672322402037,0.006750199267333263,0.015329782607204703,1
14_15010_8_1_6.jpg,1213,333.8255813953488,857.0813953488372,86,0.007641442261408005,0.007461177599969328,0.017617582576190664,1
14_15010_8_1_6.jpg,1214,823.9272727272727,857.5636363636364,165,0.09250020687653485,0.09417357479735328,0.14979333064742814,2
